name,clusterName,id
Detail-Orientated,Specialised Skills,1
Forklift Operation,Supply Chain and Logistics: Material Handling;Specialised Skills,2
Power Tools,"Maintenance, Repair, and Installation: Power Tools;Specialised Skills",3
Heavy Lifting,Health Care: Physical Abilities;Specialised Skills,4
Microsoft Office,Information Technology: Microsoft Office and Productivity Tools;Specialised Skills,5
Accounting,Finance: General Accounting;Specialised Skills,6
Communication Skills,Specialised Skills,7
Creativity,Specialised Skills,8
Verbal / Oral Communication,Specialised Skills,9
Writing,Specialised Skills,10
Agile Development,Information Technology: Software Development Principles;Specialised Skills,11
Engineering Management,Engineering: Engineering Management;Specialised Skills,12
Microsoft Excel,Common Skills,13
Onboarding,Human Resources: Employee Training;Specialised Skills,14
Product Management,Business: Product Management;Specialised Skills,15
Teamwork / Collaboration,Specialised Skills,16
Business Strategy,Business: Business Strategy;Specialised Skills,17
Economics,"Economics, Policy, and Social Studies: Economics;Specialised Skills",18
Mentoring,Specialised Skills,19
Python,Information Technology: Scripting Languages;Specialised Skills,20
R,Analysis: Statistical Software;Specialised Skills,21
SAS,Analysis: Statistical Software;Specialised Skills,22
SQL,Information Technology: SQL Databases and Programming;Specialised Skills,23
Stakeholder Management,Business: Project Management;Specialised Skills,24
Technical Analysis,Specialised Skills,25
"Workers' Compensation",Human Resources: Compensation and Benefits;Specialised Skills,26
Computer Literacy,Specialised Skills,27
Employee Training,Human Resources: Employee Training;Specialised Skills,28
External Auditing,Finance: Auditing;Specialised Skills,29
Hazard Analysis Critical Control Point (HACCP),Personal Care and Services: Food and Beverage Service;Specialised Skills,30
ISO 14001 Standards,Environment: Environmental Regulations;Specialised Skills,31
ISO 9001 Standards,Manufacturing and Production: Manufacturing Standards;Specialised Skills,32
Quality Assurance and Control,Business: Quality Assurance and Control;Specialised Skills,33
Audit Management,Finance: Auditing;Specialised Skills,34
Audit Reports,Finance: Auditing;Specialised Skills,35
Financial Auditing,Finance: Auditing;Specialised Skills,36
Generally Accepted Accounting Principles (GAAP),Finance: General Accounting;Specialised Skills,37
International Financial Reporting Standards,Finance: Financial Reporting;Specialised Skills,38
Multi-Tasking,Specialised Skills,39
Problem Solving,Specialised Skills,40
Budget Forecasting,Finance: Budget Management;Specialised Skills,41
Building Effective Relationships,Specialised Skills,42
Business Development,Sales: Business Development;Specialised Skills,43
Civil Engineering,Engineering: Civil and Architectural Engineering;Specialised Skills,44
Financial Management,Finance: Financial Management;Specialised Skills,45
Geotechnical Engineering,Engineering: Geotechnical Engineering;Specialised Skills,46
Invoicing,Finance: Billing and Invoicing;Specialised Skills,47
Laboratory Testing,Science and Research: Laboratory Research;Specialised Skills,48
Project Management,Business: Project Management;Specialised Skills,49
Veritas NetBackup,Information Technology: Network File System (NFS);Specialised Skills,50
Time Management,Specialised Skills,51
Business Management,Business: Business Management;Specialised Skills,52
Compliance Training,Legal: Regulation and Law Compliance;Specialised Skills,53
Organisational Skills,Specialised Skills,54
Risk Management,Business: Risk Management;Specialised Skills,55
Risk Management Framework,Business: Risk Management;Specialised Skills,56
Self-Starter,Specialised Skills,57
Appointment Setting,Administration: Administrative Support;Specialised Skills,58
Customer Relationship Management (CRM),Marketing and Public Relations: Customer Relationship Management (CRM);Specialised Skills,59
Customer Service,Customer and Client Support: Basic Customer Service;Specialised Skills,60
Inside Sales,Sales: Inside Sales;Specialised Skills,61
Leadership,Specialised Skills,62
Sales,Sales: General Sales;Specialised Skills,63
Social Media,Marketing and Public Relations: Social Media;Specialised Skills,64
Social Media Platforms,Marketing and Public Relations: Social Media;Specialised Skills,65
Staff Management,Business: People Management;Specialised Skills,66
Bookkeeping,Finance: General Accounting;Specialised Skills,67
Invoice Processing,Finance: Billing and Invoicing;Specialised Skills,68
MYOB,Specialised Skills,69
Meeting Deadlines,Specialised Skills,70
Energetic,Specialised Skills,71
Equities,Finance: Financial Trading;Specialised Skills,72
Financial Services Industy Experience,Industry Knowledge: Financial Services Industry Knowledge;Specialised Skills,73
Java,Information Technology: Java;Specialised Skills,74
LINUX,Information Technology: Operating Systems;Specialised Skills,75
