name,category,id
Specialised Skills,Other,1
Material Handling,Supply Chain and Logistics,2
Power Tools,"Maintenance, Repair, and Installation",3
Physical Abilities,Health Care,4
Microsoft Office and Productivity Tools,Information Technology,5
General Accounting,Finance,6
Software Development Principles,Information Technology,7
Engineering Management,Engineering,8
Common Skills,Other,9
Employee Training,Human Resources,10
Product Management,Business,11
Business Strategy,Business,12
Economics,"Economics, Policy, and Social Studies",13
Scripting Languages,Information Technology,14
Statistical Software,Analysis,15
SQL Databases and Programming,Information Technology,16
Project Management,Business,17
Compensation and Benefits,Human Resources,18
Auditing,Finance,19
Food and Beverage Service,Personal Care and Services,20
Environmental Regulations,Environment,21
Manufacturing Standards,Manufacturing and Production,22
Quality Assurance and Control,Business,23
Financial Reporting,Finance,24
Budget Management,Finance,25
Business Development,Sales,26
Civil and Architectural Engineering,Engineering,27
Financial Management,Finance,28
Geotechnical Engineering,Engineering,29
Billing and Invoicing,Finance,30
Laboratory Research,Science and Research,31
Network File System (NFS),Information Technology,32
Business Management,Business,33
Regulation and Law Compliance,Legal,34
Risk Management,Business,35
Administrative Support,Administration,36
Customer Relationship Management (CRM),Marketing and Public Relations,37
Basic Customer Service,Customer and Client Support,38
Inside Sales,Sales,39
General Sales,Sales,40
Social Media,Marketing and Public Relations,41
People Management,Business,42
Financial Trading,Finance,43
Financial Services Industry Knowledge,Industry Knowledge,44
Java,Information Technology,45
Operating Systems,Information Technology,46
Microsoft Development Tools,Information Technology,47
Systems Administration,Information Technology,48
Database Administration,Information Technology,49
Data Warehousing,Information Technology,50
Software Development Methodologies,Information Technology,51
Web Development,Information Technology,52
Technical Support,Information Technology,53
Test Automation,Information Technology,54
System Design and Implementation,Information Technology,55
Virtual Machines (VM),Information Technology,56
Version Control,Information Technology,57
Basic Electrical Systems,"Maintenance, Repair, and Installation",58
Electrical Construction,Architecture and Construction,59
Specialised Accounting,Finance,60
Contract Management,Business,61
General Administrative and Clerical Tasks,Administration,62
Plumbing,"Maintenance, Repair, and Installation",63
Environmental Work,Environment,64
Machinery,Manufacturing and Production,65
Occupational Health and Safety,Human Resources,66
Cybersecurity,Information Technology,67
Data Techniques,Analysis,68
Anti-Malware Software,Information Technology,69
Network Protocols,Information Technology,70
Software Quality Assurance,Information Technology,71
Productivity Software,Information Technology,72
Data Analysis,Analysis,73
JavaScript and jQuery,Information Technology,74
Manufacturing Processes,Manufacturing and Production,75
Performance Management,Business,76
Operations Management,Business,77
Fundraising,Marketing and Public Relations,78
Property Management,Business,79
Account Management,Sales,80
Mental Health Diseases and Disorders,Health Care,81
Business Process and Analysis,Business,82
Oncology,Health Care,83
Neurology,Health Care,84
Endocrinology,Health Care,85
Research Methodology,Science and Research,86
