id,source,description,clusterId,name
8,https://www.seek.com.au/career-advice/role/administration-support-officer,"Administration Support Officers provide secretarial, administrative and reception support to senior and executive staff within organisations, in addition to supporting office staff and general employees. Administration Support Officers are an essential part of many organisations, and individuals who have excellent communication and interpersonal skills make ideal employees.

Responding to incoming phone, email or in-person queries from employees and clients in a timely and professional manner.

Providing administrative support as required, including organising meetings and appointments, maintaining filing systems, managing office supplies and data entry.

Updating office policies and adhering to broader agency policies and procedures.",36,Seek
9,https://targetjobs.co.uk/careers-advice/job-descriptions/office-manager-job-description,"organising meetings and managing databases.
booking transport and accommodation.
organising company events and conferences.
ordering stationery and IT equipment.
dealing with correspondence, complaints and queries.
preparing letters, presentations and reports.
supervising and monitoring the work of administrative staff.
processing invoices and managing office budgets.
implementing and maintaining procedures/office administrative systems.
organising induction programmes for new employees.
ensuring that health and safety policies are up to date.
attending meetings with senior management.
assisting the organisation's HR and finance functions by keeping personnel records up to date.
arranging interviews and updating financial documents.",269,Target Jobs
10,https://au.topresume.com/career-advice/administrative-assistant-job-description,"Administrative assistant duties and responsibilities include providing administrative support to ensure efficient operation of the office. Supports managers and employees through a variety of tasks related to organization and communication. Administrative assistants are responsible for confidential and time sensitive material. Familiar with a variety of the field's concepts, practices, and procedures.

Ability to effectively communicate via phone and email ensuring that all Administrative Assistant duties are completed accurately and delivered with high quality and in a timely manner. May direct and lead the work of others. Rely on experience and judgment to plan and accomplish goals and a wide degree of creativity and latitude is expected. Typically reports to a manager or head of a unit/department.

Administrative assistant responsibilities:

Answer and direct phone calls
Organize and schedule appointments and meetings
Maintain contact lists
Produce and distribute correspondence memos, letters, faxes, and forms
Assist in the preparation of regularly scheduled reports
Develop and maintain a filing system
Order office supplies
Book travel arrangements
Submit and reconcile expense reports
Provide general support to visitors
Provide information by answering questions and requests
Take dictation
Research and creates presentations
Generate reports
Handle multiple projects
Prepare and monitor invoices
Develop administrative staff by providing information, educational opportunities, and experiential growth opportunities
Ensure operation of equipment by completing preventive maintenance requirements; calling for repairs; maintaining equipment inventories; evaluating new equipment and techniques
Maintain supplies inventory by checking stock to determine inventory level; anticipating needed supplies; placing and expediting orders for supplies; verifying receipt of supplies
Maintain professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies
Contribute to team effort by accomplishing related results as needed
Carry out administrative duties such as filing, typing, copying, binding, scanning, etc.
Organize travel arrangements for senior managers
Write letters and emails on behalf of other office staff
Book conference calls, rooms, taxis, couriers, hotels, etc.  
Cover the reception desk when required
Maintain computer and manual filing systems
Handle sensitive information in a confidential manner
Take accurate minutes of meetings
Coordinate office procedures
Reply to email, telephone, or face to face inquiries
Develop and update administrative systems to make them more efficient
Resolve administrative problems
Receive, sort, and distribute the mail
Answer telephone calls and pass them on
Manage staff appointments
Oversee and supervise the work of junior staff
Maintain up-to-date employee holiday records
Coordinate repairs to office equipment
Greet and assist visitors to the office
Photocopy and print out documents on behalf of other colleagues
Provide polite and professional communication
Implement clerical duties and administrative processes
Conduct data entry
Confirm restaurant reservations for senior staff

Administrative assistant requirements:

Proven admin or assistant experience
Knowledge of office management systems and procedures
Excellent time management skills and ability to multi-task and prioritize work
Attention to detail and problem solving skills
Excellent written and verbal communication skills
Strong organizational and planning skills
Proficient in MS Office
At least 7 years of experience in the field or in a related area
High school diploma or equivalent; college degree preferred

Administrative assistant skills & proficiencies:

Reporting Skills
Administrative Writing Skills
Proficiency in Microsoft Office
Analysis
Professionalism
Problem Solving
Supply Management
Inventory Control
Verbal Communication
Office Administration Procedures
Typing
Attention to Detail
Accuracy
Multitask
Telephone Skills
Teamwork
Discretion and Judgment
Patience
Resourcefulness
Anticipates Needs
Emotional Intelligence
Flexibility
Editing and Proofreading
Microsoft Office Skills
Typing Skills",36,TopResume
11,https://www.upwork.com/hire/transcriptionists/job-description/,"A transcriptionist is a person who transcribes recorded dictation, such as medical terminology, into written form. The job often entails listening to audio recordings and typing out what is heard, either in a word processing program or using a stenotype machine.

Listen to recordings and transcribe those recordings to text files
Ensure accuracy of the transcribed text
Understand details of client requirements regarding formatting and notation
Complete transcriptions in a timely manner, reviewing grammar, punctuation and spelling prior to submission
Remain familiar with the latest transcription software and recommend upgrades or enhancements if necessary
Correct any errors or inaccuracies in a timely manner
Ensure typing skills are honed and remain sharp by completing typing drills on a regular basis
",352,UpWork
12,https://work.chron.com/job-description-transcriptionists-17340.html,"Transcriptionists put medical reports in writing. They take dictations from doctors directly or from recordings, using shorthand or a stenotype machine. They copy and expand those notes and recordings into diagnostic results, case summaries and letters referring patients for additional care. Plus, transcriptionists edit drafts prepared with speech recognition software. The dictations transcriptionists take cover a variety of reports, from patient histories and physical exams to hospital admission or discharge summaries.

Accuracy is imperative to ensuring patients get the right care, and transcriptionists are responsible for guaranteeing records are correct. If they spot inconsistencies, they follow up with the doctor to fix problems. Plus, it’s essential that they know medical terms, anatomy and pharmacology, as well as abbreviations, which they must interpret in full form in reports. To include proper information, they must know how to consult medical dictionaries and drug reference books. Transcriptionists also check work for spelling, grammar, clarity and consistency.

Transcriptionists follow laws and regulations on patient confidentiality and documentation. They write correspondence, enter data into medical systems and keep track of records and patient-care details. Also, they set up and maintain databases of lab reports, medical histories, diagnostic results, care summaries and resumes. If they work in doctors’ offices, transcriptionists may answer phones or check in patients as well.",352,Chron
13,https://sfia-online.org/en/sfia-8/skills/data-science,"Applying mathematics, statistics, data mining and predictive modelling techniques to gain insights, predict behaviours and generate value from data.

Data science is typically used for analysing high volume, high velocity and high variety data (numbers, symbols, text, sound and image).

integrating methods from mathematics, statistics and probability modelling using specialised programming languages, tools and techniques.
sourcing and preparing data for analysis.
identifying, validating and exploiting internal and external data sets generated from a diverse range of processes.
developing forward-looking, predictive, real-time, model-based insights to create value and drive effective decision-making.
finding, selecting, acquiring and ingesting data sources, integrating and cleaning data to make it fit for purpose.
developing hypotheses and exploring data using models and analytics sandboxes.
refining requirements, validating, training and evolving models over time to discover deeper insights, make predictions, or generate recommendations.
using advanced analytic techniques including — but not limited to — data/text mining, machine learning, pattern matching, forecasting, visualisation, semantic analysis, sentiment analysis, network and cluster analysis, multivariate statistics, graph analysis, simulation, complex event processing, neural networks.
",165,SFIA
14,https://www.betterteam.com/game-animator-job-description,"Compiling design briefs and reports that detail the requirements needed to complete an order.
Researching video game animation trends, techniques, and statistics.
Designing and producing top-quality animations that meet our company's standards.
Collaborating with programmers and developers to ensure that all design briefs are adhered to.
Using computer software and hardware systems to create interactive animations and special effects.
Presenting ideas and research findings to management and potential investors.
Representing our company at video game showcases, presentations, and exhibitions.
Outlining long-term objectives for special projects that exceed standard video game production time.

A comprehensive digital portfolio of completed projects.
Experience in modeling, rigging, and skinning models for video games.
Good understanding of video game development and the art-creation process.
Strong grasp of Photoshop, Maya, and 3ds Max.
Exceptional communication and teamwork skills.
A creative eye for art direction and video game special effects.",405,Better Team
15,https://sfia-online.org/en/sfia-8/skills/application-support,"Technical Support Specialist Job Responsibilities

Installs, modifies, and makes minor repairs to computer hardware and software systems.
Resolves tickets representing staff-generated technical requests or problems and troubleshoots technical and process issues to maintain productivity.
Maintains system functionality by testing computer components.
Helps design and implement networks.
Consults with users to determine appropriate hardware and software needs and assists in placing orders.
Maximizes computer systems capabilities by studying technical applications and making recommendations.
Tests compatibility of new programs with existing ones.
Gathers data to identify and evaluate technical purchasing options.
Confirms program objectives and specifications by testing new programs, comparing them with established standards, and making modifications.
Evaluates vendor-supplied software by studying user objectives and testing software compatibility with existing hardware and programs.
Installs software and necessary applications for workflow.
Trains users on new software in person or through a variety of tutorial channels, including self-guided training videos, user manuals, and digital instruction pages, often in collaboration with technical writers.
Maintains system capability by testing computer components.
Carries out software, network, and database performance tuning.
Documents hardware and software updates.
Keeps up to date on technical advancements by attending educational workshops, reviewing professional publications, and participating in professional societies.
Prepares reference material for users by drafting operation instructions.",53,SFIA
16,https://www.betterteam.com/financial-auditor-job-description,"Financial auditors perform accounting analyses of organizations to assist with audit planning, error identification, and regulatory compliance. They determine whether aspects of businesses are properly valued and accounted for in business documents. They also check and verify business accounting through data-driven processes and analysis.

Financial Auditor Job Description:

We are searching for a financial auditor to investigate, audit, and take account of financial records for our clients. In this role, you will plan and engage in financial assessments of business processes, debts, and assets, and determine financial standings while ensuring that best accounting and auditing practices are followed at all times.

To ensure success as a financial auditor, you must be skilled in accounting practices, have an extensive understanding of financial legislation, and be adept at analyzing large volumes of data. A top-notch financial auditor can work independently and understands all of the required processes involved in completing successful financial audits.

Financial Auditor Responsibilities:

Researching companies in detail prior to commencing the auditing process.
Planning financial audits of businesses from start to finish.
Collecting, preparing, and organizing physical and digital documentation for auditing processes.
Identifying key areas and issues for further investigation and analysis.
Assessing core business competencies and valuations.
Evaluating figures, accounts, and statements with other auditing clerks, internal auditors, and tax officers.
Verifying documents, figures, and account details for auditing.
Assisting other stakeholders in determining valuations, figures, and projections.
Compiling and presenting findings in written and verbal forms to senior members of the auditing team.
Recommending and advising on subsequent actions and processes to be undertaken by the business.

Financial Auditor Requirements:

Experience as a financial accountant, financial analyst or business accountant.
A thorough understanding of key areas such as risk, compliance, and financial legislation.
In-depth knowledge of accounting software such as Sage Pastel, SAP, or similar systems.
Impeccable organizational and analytical skills.
Ability to work in a team environment.
Ability to work according to tight deadlines.
Proficient at detailed report writing and presentation.
Exceptional financial research training and abilities.
",19,Betterteam
17,https://sfia-online.org/en/sfia-8/skills/testing,"We are looking for a highly-skilled test automation engineer to design automation tests. Test automation engineers' duties include designing automation scripts and finding solutions for automation problems. You should also be committed to developing skills in order to provide up-to-date solutions.

To be successful as a test automation engineer, you should be exceptionally accurate and possess a superior mathematical aptitude. Ultimately, a top-notch test automation engineer will be proficient in programming languages and have excellent time management skills.

Test Automation Engineer Responsibilities:

Designing and developing test automation scripts.
Using test automation guidelines.
Researching issues in software through testing.
Collaborating with QA Analysts and Software Developers to develop solutions.
Keeping updated with the latest industry developments.",54,SFIA
